Ano;Trimestre;V4010;PNAD CONTÍNUA _COD(TÍTULO);avg_teleworkable;minimum_conditions;teleworkable_score
2018;3;1212;Dirigentes de recursos humanos;1;0.6666666666666666;0.6666666666666666
2018;3;1219;Dirigentes de administração e de serviços não classificados anteriormente;0.75;1;0.75
2018;3;1221;Dirigentes de vendas e  comercialização;1;0.9047619047619048;0.9047619047619048
2018;3;1222;Dirigentes de publicidade e relações públicas;1;1;1
2018;3;1223;Dirigentes de pesquisa e desenvolvimento;0.8;1;0.8
2018;3;1321;Dirigentes de indústria de transformação;0;1;0
2018;3;1323;Dirigentes de empresas de construção;0;1;0
2018;3;1330;Dirigentes de serviços de tecnologia da informação e comunicações;1;1;1
2018;3;1342;Dirigentes de serviços de saúde;1;1;1
2018;3;1345;Dirigentes de serviços de educação;1;1;1
2018;3;1412;Gerentes de restaurantes;0;0.8;0
2018;3;2142;Engenheiros civis;1;1;1
2018;3;2149;Engenheiros não classificados anteriormente;0.4375;1;0.4375
2018;3;2151;Engenheiros eletricistas;1;1;1
2018;3;2161;Arquitetos de edificações;1;1;1
2018;3;2163;Desenhistas de produtos e  vestuário;1;1;1
2018;3;2166;Desenhistas gráficos e de multimídia;1;1;1
2018;3;2211;Médicos gerais;0.06666666666666667;1;0.06666666666666667
2018;3;2212;Médicos especialistas;0.25;1;0.25
2018;3;2221;Profissionais de enfermagem;0;0.8333333333333334;0
2018;3;2250;Veterinários;0;0;0
2018;3;2261;Dentistas;0;1;0
2018;3;2262;Farmacêuticos;0;1;0
2018;3;2264;Fisioterapeutas;0;1;0
2018;3;2266;Fonoaudiólogos e logopedistas;0.5;1;0.5
2018;3;2269;Profissionais da saúde não classificados anteriormente;0.375;0.5;0.1875
2018;3;2310;Professores de universidades e do ensino superior;0.9714285714285714;1;0.9714285714285714
2018;3;2320;Professores de formação profissional;1;1;1
2018;3;2330;Professores do ensino médio;1;1;1
2018;3;2341;Professores do ensino fundamental;1;1;1
2018;3;2342;Professores do ensino pré-escolar;1;0.8181818181818182;0.8181818181818182
2018;3;2351;Especialistas em métodos pedagógicos;1;1;1
2018;3;2353;Outros professores de idiomas;1;1;1
2018;3;2359;Profissionais de ensino não classificados anteriormente;1;1;1
2018;3;2411;Contadores;0.75;0.6;0.44999999999999996
2018;3;2413;Analistas financeiros;1;0.8571428571428571;0.8571428571428571
2018;3;2421;Analistas de gestão e administração;1;1;1
2018;3;2423;Especialistas em políticas e serviços de pessoal e afins;1;0.7142857142857143;0.7142857142857143
2018;3;2431;Profissionais da publicidade e da comercialização;1;0.8888888888888888;0.8888888888888888
2018;3;2432;Profissionais de relações públicas;1;1;1
2018;3;2433;Profissionais de vendas técnicas e médicas (exclusive tic);1;1;1
2018;3;2511;Analistas de sistemas;1;0.9230769230769231;0.9230769230769231
2018;3;2512;Desenvolvedores de programas e aplicativos (software);1;0.6666666666666666;0.6666666666666666
2018;3;2514;Programadores de aplicações;1;1;1
2018;3;2522;Administradores de sistemas;1;1;1
2018;3;2611;Advogados e juristas;1;0.8333333333333334;0.8333333333333334
2018;3;2619;Profissionais em direito não classificados anteriormente;1;1;1
2018;3;2634;Psicólogos;1;1;1
2018;3;2641;Escritores;1;1;1
2018;3;2642;Jornalistas;1;0.6363636363636364;0.6363636363636364
2018;3;2651;Artistas plásticos;0.5;1;0.5
2018;3;2652;Músicos, cantores e compositores;0.25;1;0.25
2018;3;3113;Eletrotécnicos;0;0.3333333333333333;0
2018;3;3115;Técnicos em engenharia mecânica;0;0.5;0
2018;3;3119;Técnicos em ciências físicas e da engenharia não classificados anteriormente;0;1;0
2018;3;3122;Supervisores de indústrias de transformação;0;1;0
2018;3;3211;Técnicos em aparelhos de diagnóstico e tratamento médico;0;0.5;0
2018;3;3221;Profissionais de nível médio de enfermagem;0;0.8461538461538461;0
