date,year,quarter,price_real_month,area_m2,bedrooms,suite,bathrooms,garage,price_m2,condo_real,metro_dist_km,gym,field_quadra,elevator,furnished,swimming_pool,delta_cbd_farialima,inequality_meter,inequality_rank,teleworkable
28/08/2021,2021,3,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.426
29/08/2021,2021,3,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.426
09/05/2021,2021,3,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.426
09/12/2021,2021,3,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.426
19/09/2021,2021,3,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.426
20/09/2021,2021,3,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.426
27/09/2021,2021,3,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.426
28/09/2021,2021,3,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.426
10/06/2021,2021,4,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.292
13/10/2021,2021,4,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.292
20/10/2021,2021,4,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.292
11/03/2021,2021,4,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.292
11/05/2021,2021,4,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.292
11/06/2021,2021,4,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.292
13/11/2021,2021,4,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.292
14/11/2021,2021,4,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.292
21/11/2021,2021,4,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.292
29/11/2021,2021,4,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.292
13/12/2021,2021,4,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.292
