date,year,quarter,price_real_month,area_m2,bedrooms,suite,bathrooms,garage,price_m2,condo_real,metro_dist_km,gym,field_quadra,elevator,furnished,swimming_pool,delta_cbd_farialima,inequality_meter,inequality_rank,teleworkable
27/09/2021,2021,3,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.426
28/09/2021,2021,3,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.426
06/10/2021,2021,4,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.292
13/10/2021,2021,4,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.292
20/10/2021,2021,4,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.292
24/10/2021,2021,4,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.292
27/10/2021,2021,4,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.292
03/11/2021,2021,4,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.292
05/11/2021,2021,4,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.292
06/11/2021,2021,4,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.292
13/11/2021,2021,4,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.292
21/11/2021,2021,4,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.292
29/11/2021,2021,4,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.292
13/12/2021,2021,4,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.292
20/12/2021,2021,4,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.292
27/12/2021,2021,4,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.292
12/02/2020,2020,1,1450000,84,2,1,1,2,17261.90476,1123,0.320740081,1,0,1,0,1,3.2386062,63.25,6,0.35
21/11/2021,2021,4,2350000,137,3,1,2,1,17153.28467,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.292
13/11/2021,2021,4,1100000,65,2,1,1,2,16923.07692,949,0.142642615,1,0,1,0,1,2.4941017,65.28125,4,0.222
24/04/2021,2021,2,3300000,196,4,2,3,2,16836.73469,650,2.039931581,1,0,1,0,0,1.1434391,67.9375,1,0.334
05/02/2020,2020,1,1400000,85,2,1,1,3,16470.58824,841,1.802314222,1,1,1,0,1,0.999788,60.90625,12,0.188
08/07/2021,2021,3,741000,45,2,1,2,1,16466.66667,650,0.362087047,0,0,1,1,0,4.8518961,66.3125,3,0.339
23/07/2021,2021,3,741000,45,2,1,2,1,16466.66667,650,0.362087047,0,0,1,0,1,4.8518961,66.3125,3,0.339
31/07/2021,2021,3,741000,45,2,1,2,1,16466.66667,650,0.362087047,0,0,1,0,1,4.8518961,66.3125,3,0.339
06/10/2021,2021,4,790000,48,1,1,1,1,16458.33333,800,1.300338534,1,0,1,1,1,1.2003488,67.9375,1,0.292
27/09/2021,2021,3,850000,52,1,1,1,1,16346.15385,900,1.127285539,1,1,1,1,1,4.4553091,63.15625,6,0.372
22/01/2020,2020,1,1060000,65,2,1,1,2,16307.69231,850,0.348980218,1,1,1,1,1,2.9997761,63.25,6,0.35
20/12/2021,2021,4,1250000,77,2,1,2,2,16233.76623,1200,0.552949769,1,0,1,1,1,4.9763699,66.3125,3,0.17
29/08/2021,2021,3,1590000,98,2,2,3,2,16224.4898,1100,1.050581658,1,0,1,0,1,4.0883666,59.875,10,0.468
29/01/2020,2020,1,1799900,112,2,1,1,3,16070.53571,1100,2.629532148,0,0,1,1,0,0.820325,64.6875,4,0.322
16/03/2021,2021,1,1250000,78,1,1,2,2,16025.64103,1100,2.469666746,1,0,1,1,1,6.5304645,60.56666667,9,0.279
23/03/2021,2021,1,1250000,78,1,1,2,2,16025.64103,1100,2.469666746,1,0,1,1,1,6.5304645,60.56666667,9,0.279
30/03/2021,2021,1,1250000,78,1,1,2,2,16025.64103,1100,2.469666746,1,0,1,1,1,6.5304645,60.56666667,9,0.279
10/04/2021,2021,2,1250000,78,1,1,2,2,16025.64103,1100,2.469666746,1,0,1,1,1,6.5304645,60.56666667,9,0.25
11/04/2021,2021,2,1250000,78,1,1,2,2,16025.64103,1100,2.469666746,1,0,1,1,1,6.5304645,60.56666667,9,0.25
17/04/2021,2021,2,1250000,78,1,1,2,2,16025.64103,1100,2.469666746,1,0,1,1,1,6.5304645,60.56666667,9,0.25
23/04/2021,2021,2,1250000,78,1,1,2,2,16025.64103,1100,2.469666746,1,0,1,1,1,6.5304645,60.56666667,9,0.25
