quarter,year,date,area_m2,bedrooms,suite,bathrooms,garage,price_real_month,price_m2,condo_real,metro_dist_km,gym,field_quadra,elevator,furnished,swimming_pool,delta_cbd_farialima,inequality_meter,inequality_rank,teleworkable
1,2018,31/01/2018,63,2,1,2,2,378000,6000,,1.137399644,,,,,,6.2056953,53.75,29,0.075
1,2018,22/01/2018,63,3,1,2,1,349300,5544.44,298,2.862918317,,,,,,8.3939947,45.3125,53,0.056
1,2018,30/01/2018,63,2,1,1,1,337808,5362.03,,0.35389279,,,,,,6.1668489,59.59375,19,0.115
1,2018,26/01/2018,63,3,0,2,2,427000,6777.78,665,0.704280348,,,,,,4.5404926,53.75,29,0.075
1,2018,10/01/2018,64,2,2,3,1,455000,7109.38,475,0.836845568,,,,,,5.2858969,70.0625,6,0.079
1,2018,03/01/2018,64,1,1,1,1,558677,8729.33,441,0.738425166,,,,,,4.3449839,68.96875,7,0.135
1,2018,03/01/2018,64,1,1,1,1,574056,8969.63,441,0.738425166,,,,,,4.3449839,68.96875,7,0.135
1,2018,09/01/2018,64,2,1,2,2,448000,7000,,0.584865221,,,,,,7.3866173,55.3125,24,0.054
1,2018,12/01/2018,64,2,1,2,1,541800,8465.63,451,2.155308819,,,,,,1.1799145,61.78125,15,0.174
1,2018,31/01/2018,64,2,1,2,2,548240,8566.25,,2.155308819,,,,,,1.1799145,61.78125,15,0.174
1,2018,23/01/2018,64,2,0,1,1,338791,5293.61,0,0.35389279,,,,,,6.1668489,59.59375,19,0.115
1,2018,30/01/2018,64,2,1,2,2,521499,8148.42,525,0.858733553,,,,,,5.5695185,70.0625,6,0.079
1,2018,15/01/2018,65,2,1,2,2,944999,14538.45,735,0.531078307,,,,,,3.6930273,75.40625,2,0.093
1,2018,22/01/2018,65,3,1,2,1,367500,5653.85,,2.271945432,,,,,,8.5999788,45.3125,53,0.056
1,2018,18/01/2018,65,2,0,1,1,334600,5147.69,385,1.278864405,,,,,,11.0781913,54.6875,26,0.098
1,2018,26/01/2018,65,2,1,2,2,367500,5653.85,357,2.188342026,,,,,,12.3197089,52.15625,31,0.042
1,2018,19/01/2018,65,2,1,2,1,415100,6386.15,454,2.50774914,,,,,,7.7755325,55.3125,24,0.054
1,2018,23/01/2018,65,2,1,2,2,482299,7419.98,567,0.50272587,,,,,,5.5768841,71.21875,3,0.095
1,2018,17/01/2018,65,2,0,1,1,525000,8076.92,573,1.587390011,,,,,,1.0300242,71.0625,4,0.087
1,2018,24/01/2018,65,2,1,1,2,406000,6246.15,454,0.995420608,,,,,,15.4818113,54.40625,28,0.054
1,2018,31/01/2018,65,2,1,2,2,336000,5169.23,350,1.380563089,,,,,,12.1204216,61.25,16,0.161
1,2018,25/01/2018,65,3,1,2,2,343000,5276.92,,1.380563089,,,,,,12.1204216,61.25,16,0.161
1,2018,12/01/2018,65,2,1,2,1,325500,5007.69,,4.319831352,,,,,,10.1390088,51.3125,35,0.07
1,2018,22/01/2018,65,2,1,2,1,461999,7107.68,315,0.47091151,,,,,,7.6378195,55.3125,24,0.054
1,2018,18/01/2018,66,2,0,1,2,360500,5462.12,420,1.918535831,,,,,,8.6403934,63.03125,13,0.047
1,2018,16/01/2018,66,3,1,2,1,385000,5833.33,220,1.445409737,,,,,,6.6034131,60.875,18,0.193
1,2018,29/01/2018,66,3,1,2,1,350000,5303.03,461,2.362171341,,,,,,10.5866017,54.6875,26,0.049
1,2018,29/01/2018,67,2,1,2,1,517999,7731.33,875,0.765803212,,,,,,1.7553335,71.0625,4,0.087
1,2018,12/01/2018,67,2,0,2,1,336000,5014.93,266,9.122355639,,,,,,15.0213293,47.34375,48,0.097
1,2018,16/01/2018,67,3,1,2,2,462699,6905.96,420,1.312448685,,,,,,6.0094058,60.875,18,0.193
1,2018,07/01/2018,67,2,2,3,2,350000,5223.88,560,0.248595016,,,,,,14.7658817,54.40625,28,0.054
1,2018,12/01/2018,67,3,1,1,1,413000,6164.18,369,0.297726509,,,,,,11.9773436,62.71875,14,0.069
1,2018,30/01/2018,68,2,,1,,420000,6176.47,365,0.458732291,,,,,,5.7459117,59.59375,19,0.115
1,2018,31/01/2018,68,2,1,2,2,413000,6073.53,454,0.817363145,,,,,,12.7901428,62.71875,14,0.069
1,2018,10/01/2018,68,2,,1,,448000,6588.24,96,0.696346593,,,,,,3.8548456,75.40625,2,0.093
1,2018,21/01/2018,68,2,1,2,2,486499,7154.4,350,1.78722249,,,,,,6.3596665,70.46875,5,0.063
1,2018,11/01/2018,68,2,0,2,1,392000,5764.71,0,1.992382618,,,,,,4.4819488,47.65625,47,0.092
1,2018,04/01/2018,68,2,1,2,2,521499,7669.1,401,1.120960591,,,,,,6.1606458,70.0625,6,0.079
1,2018,11/01/2018,68,2,1,3,1,503999,7411.75,489,0.275712847,,,,,,6.0998366,60.875,18,0.193
1,2018,26/01/2018,68,2,1,2,1,406000,5970.59,420,1.162289299,,,,,,9.6821482,63.03125,13,0.047
1,2018,26/01/2018,69,2,1,2,1,559300,8105.8,553,1.053138717,,,,,,2.7864827,61.78125,15,0.174
1,2018,16/01/2018,69,2,,1,,350000,5072.46,210,1.163732401,,,,,,5.591654,70.0625,6,0.079
1,2018,24/01/2018,69,2,0,2,2,371000,5376.81,630,2.033913833,,,,,,6.6814954,37.625,78,0.054
1,2018,16/01/2018,70,2,1,2,1,532000,7600,630,0.88166902,,,,,,3.3821588,71.21875,3,0.095
1,2018,04/01/2018,70,2,1,1,2,446600,6380,420,0.385596516,,,,,,5.6695855,53.75,29,0.075
1,2018,24/01/2018,70,2,0,2,1,486499,6949.99,525,0.707224541,,,,,,3.2227387,75.40625,2,0.093
1,2018,19/01/2018,70,2,0,2,1,555100,7930,700,1.960509108,,,,,,12.8236129,30.4375,93,0.092
1,2018,17/01/2018,70,2,0,1,1,392000,5600,315,1.913299291,,,,,,11.6796047,54.6875,26,0.049
1,2018,11/01/2018,70,2,1,2,1,441000,6300,,2.368452989,,,,,,7.7982164,55.3125,24,0.054
1,2018,31/01/2018,70,2,0,2,1,395500,5650,420,0.457072497,,,,,,5.2891129,70.0625,6,0.079
1,2018,29/01/2018,70,3,0,1,1,384230,5489,,2.414664413,,,,,,5.3308097,47.65625,47,0.092
1,2018,29/01/2018,70,3,0,1,1,384860,5498,,2.414664413,,,,,,5.3308097,47.65625,47,0.092
1,2018,12/01/2018,70,3,0,1,0,350000,5000,454,0.505157902,,,,,,12.8731725,62.71875,14,0.069
1,2018,05/01/2018,70,3,1,2,2,364000,5200,0,1.762396541,,,,,,13.6664128,50.4375,36,0.063
1,2018,10/01/2018,70,2,0,2,1,385000,5500,595,0.672949983,,,,,,2.4416396,61.78125,15,0.174
1,2018,16/01/2018,70,2,,1,,420000,6000,280,0.979602288,,,,,,5.4369501,70.0625,6,0.079
1,2018,17/01/2018,70,2,1,2,2,392000,5600,,2.115167912,,,,,,10.6319602,54.6875,26,0.049
1,2018,29/01/2018,71,3,1,2,0,364000,5126.76,294,2.696913064,,,,,,6.4456153,61,17,0.136
1,2018,21/01/2018,71,3,1,2,2,539000,7591.55,429,0.348297192,,,,,,6.9718497,64.3125,11,0.087
1,2018,10/01/2018,72,3,1,1,2,395500,5493.06,532,6.79988811,,,,,,11.9401053,47.34375,48,0.097
1,2018,27/01/2018,72,3,1,2,2,392000,5444.44,364,3.661588156,,,,,,14.7199625,50.4375,36,0.063
