date;area_m2;bedrooms;suite;bathrooms;garage;price_real_month;price_m2;condo_real;metro_dist_km;gym;field_quadra;elevator;furnished;swimming_pool;delta_cbd_farialima;inequality_meter;inequality_rank;teleworkable
01/03/2019;45;1;0;1;1;1550;34.44444444;0;0.450302967;0;0;0;0;0;3.75742893;65.76666667;6;0.201
08/01/2020;45;1;1;1;1;1600;35.55555556;1500;0.450302967;1;1;1;1;1;3.75742893;56.03125;21;0.22
05/02/2020;45;1;0;1;1;1600;35.55555556;0;0.450302967;0;0;0;0;0;3.75742893;56.03125;21;0.22
25/12/2019;45;1;0;1;1;1600;35.55555556;0;0.450302967;0;0;0;0;0;3.75742893;65.76666667;6;0.271
07/06/2018;42;1;1;1;1;1551;36.92857143;688;0.448899647;;;;;;3.755525799;75.40625;2;0.266
10/12/2018;42;1;0;1;1;1575;37.5;979;0.448899647;;;;;;3.755525799;75.40625;2;0.173
21/06/2018;35;1;0;1;1;1407;40.2;770;0.448899647;;;;;;3.755525799;75.40625;2;0.266
21/06/2018;35;1;0;1;1;1428;40.8;770;0.448899647;;;;;;3.755525799;75.40625;2;0.266
30/11/2018;35;1;1;1;1;1610;46;909;0.448899647;;;;;;3.755525799;75.40625;2;0.173
05/12/2018;50;1;1;1;1;2695;53.9;0;0.448899647;;;;;;3.755525799;75.40625;2;0.173
10/01/2019;35;1;1;1;1;3290;94;770;0.448899647;;;;;;3.755525799;65.76666667;6;0.201
18/09/2019;120;3;0;2;2;3500;29.16666667;0;0.554802751;0;0;0;0;0;3.659707693;65.76666667;6;0.257
18/10/2018;307;2;1;2;3;11200;36.48208469;1750;0.661299075;;;;;;3.534357512;75.40625;2;0.173
08/02/2019;240;3;1;3;2;4620;19.25;2450;0.684142127;;;;;;3.530066084;65.76666667;6;0.201
16/01/2019;150;4;1;4;2;5950;39.66666667;1021;0.826034789;;;;;;3.364514367;65.76666667;6;0.201
15/11/2018;230;2;1;2;1;7000;30.43478261;1924;0.876751445;;;;;;3.329307961;75.40625;2;0.173
31/01/2019;262;2;2;2;2;7000;26.71755725;1750;0.894579167;;;;;;3.310516142;65.76666667;6;0.201
30/07/2018;262;4;2;4;2;7000;26.71755725;1750;0.894579167;;;;;;3.310516142;75.40625;2;0.112
10/08/2018;260;3;1;3;2;7000;26.92307692;1680;0.894579167;;;;;;3.310516142;75.40625;2;0.112
23/02/2019;75;1;0;1;1;2520;33.6;728;0.907795014;;;;;;3.298464287;65.76666667;6;0.201
05/11/2021;75;2;0;2;1;3000;40;1200;0.907795014;0;0;0;0;0;3.298464287;59.7;11;0.221
07/02/2018;80;1;1;1;1;9800;122.5;3849;0.992256024;;;;;;3.192962787;75.40625;2;0.093
26/06/2018;80;1;1;1;1;9800;122.5;3849;0.992256024;;;;;;3.192962787;75.40625;2;0.266
22/10/2018;224;4;2;4;3;8400;37.5;2520;1.089993179;;;;;;3.110031716;75.40625;2;0.173
01/01/2020;130;2;0;1;0;2600;20;0;0.986421175;0;0;0;0;0;7.606376554;54.875;24;0.218
17/01/2019;30;1;0;1;1;1100;36.66666667;0;0.928594612;0;0;0;0;0;7.641446306;63.1875;10;0.202
05/10/2018;24;1;0;1;0;840;35;154;0.843257664;;;;;;7.560711874;64.3125;11;0.286
24/01/2019;24;1;0;1;0;1000;41.66666667;0;0.843257664;0;0;0;0;0;7.560711874;63.1875;10;0.202
15/02/2019;183;2;1;2;1;3150;17.21311475;1400;0.624866598;;;;;;3.743024873;65.76666667;6;0.201
17/05/2018;270;3;2;3;4;5600;20.74074074;2450;0.624866598;;;;;;3.743024873;75.40625;2;0.266
